EducationLevel,Location,Method,Program,Term,URL,University
Graduate diploma / certificate,"		Leeds, England
", On campus,International Events Management (Taught),1 year,https://www.educations.com/study-abroad/leeds-beckett-university/international-events-management-taught-907601,Leeds Beckett University
Bachelor's degree,"		Chester, England
", On campus,Events Management and Business Management,3 years,https://www.educations.com/study-abroad/university-of-chester/events-management-and-business-management-934406,University of Chester
Bachelor's degree,"		Chester, England
", On campus,Events Management and Film Studies,3 years,https://www.educations.com/study-abroad/university-of-chester/events-management-and-film-studies-934404,University of Chester
Bachelor's degree,"		Chester, England
", On campus,Events Management and Media Studies,3 years,https://www.educations.com/study-abroad/university-of-chester/events-management-and-media-studies-934392,University of Chester
Bachelor's degree,"		York, England
", On campus,Events Management with Placement,4 years,https://www.educations.com/study-abroad/york-st-john-university/events-management-with-placement-960472,York St John University
Master's degree,"		Oxford, England
", On campus,International Events Management (Taught),17 months,https://www.educations.com/study-abroad/oxford-brookes-university/international-events-management-taught-911608,Oxford Brookes University
Master's degree,"		Oxford, England
", On campus,International Events Management (Taught),1 year,https://www.educations.com/study-abroad/oxford-brookes-university/international-events-management-taught-911607,Oxford Brookes University
Master's degree,"		Oxford, England
", On campus,International Events Management (Taught),2 years,https://www.educations.com/study-abroad/oxford-brookes-university/international-events-management-taught-911630,Oxford Brookes University
Diploma / certificate,"		Plymouth, England
", On campus,Live Events,1 year,https://www.educations.com/study-abroad/city-college-plymouth/live-events-891144,City College Plymouth
Foundation / Pathway program,"		Liverpool, England
", On campus,Event and Festival Management,2 years,https://www.educations.com/study-abroad/hugh-baird-college/event-and-festival-management-904139,Hugh Baird College
Bachelor's degree,"		London, England
", On campus,Event Management,3 years,https://www.educations.com/study-abroad/university-of-east-london/event-management-924850,University of East London
Master's degree,"		Dorset, England
", On campus,Events Management (Taught),16 months,https://www.educations.com/study-abroad/bournemouth-university/events-management-taught-897375,Bournemouth University
Foundation / Pathway program,"		Plumpton, England
", On campus,Wine Business - Subject to validation,2 years,https://www.educations.com/study-abroad/plumpton-college/wine-business-subject-to-validation-913688,Plumpton College
Bachelor's degree,"		Chester, England
", On campus,Events and Festival Management (including a Foundation Year),4 years,https://www.educations.com/study-abroad/university-of-chester/events-and-festival-management-including-a-foundation-year-934417,University of Chester
Bachelor's degree,"		Chester, England
", On campus,Events Management,3 years,https://www.educations.com/study-abroad/university-of-chester/events-management-934419,University of Chester
Bachelor's degree,"		Chester, England
", On campus,Events Management (including a Foundation Year),4 years,https://www.educations.com/study-abroad/university-of-chester/events-management-including-a-foundation-year-934420,University of Chester
Foundation / Pathway program,"		London, England
", On campus,Event Management with Placement,3 years,https://www.educations.com/study-abroad/university-of-west-london/event-management-with-placement-964754,University of West London
Bachelor's degree,"		Bournemouth, England
", On campus,BA (Hons) Events Management,,https://www.educations.com/study-abroad/bournemouth-university/ba-hons-events-management-83948,Bournemouth University
Foundation / Pathway program,"		Middlesbrough, England
", On campus,Culinary Arts and Management,2 years,https://www.educations.com/study-abroad/middlesbrough-college/culinary-arts-and-management-908275,Middlesbrough College
Master's degree,"		Winchester, England
", On campus,Cultural and Arts Management (Taught),1 year,https://www.educations.com/study-abroad/university-of-winchester/cultural-and-arts-management-taught-961649,University of Winchester
Bachelor's degree,"		London, England
", On campus,Event Management (with Foundation Year),4 years,https://www.educations.com/study-abroad/university-of-east-london/event-management-with-foundation-year-924849,University of East London
Foundation / Pathway program,"		Newcastle upon Tyne, England
", On campus,Events Management,2 years,https://www.educations.com/study-abroad/newcastle-college/events-management-912707,Newcastle College
Bachelor's degree,"		London, England
", On campus,Event Management with Foundation Year,4 years,https://www.educations.com/study-abroad/university-of-west-london/event-management-with-foundation-year-964760,University of West London
Bachelor's degree,"		Northampton, England
", On campus,Events Management,4 years,https://www.educations.com/study-abroad/university-of-northampton/events-management-945718,University of Northampton
Bachelor's degree,"		Northampton, England
", On campus,Events Management,3 years,https://www.educations.com/study-abroad/university-of-northampton/events-management-945726,University of Northampton
Bachelor's degree,"		London, England
", On campus,Events and Entertainment Management,3 years,https://www.educations.com/study-abroad/london-south-bank-university/events-and-entertainment-management-908195,London South Bank University
Bachelor's degree,"		London, England
", On campus,Events and Entertainment Management,4 years,https://www.educations.com/study-abroad/london-south-bank-university/events-and-entertainment-management-908196,London South Bank University
Bachelor's degree,"		Chester, England
", On campus,Events Management and Advertising,3 years,https://www.educations.com/study-abroad/university-of-chester/events-management-and-advertising-934421,University of Chester
Bachelor's degree,"		Chester, England
", On campus,Events Management and Radio Production,3 years,https://www.educations.com/study-abroad/university-of-chester/events-management-and-radio-production-934393,University of Chester
Bachelor's degree,"		Chester, England
", On campus,Events Management and TV Production,3 years,https://www.educations.com/study-abroad/university-of-chester/events-management-and-tv-production-934394,University of Chester
Bachelor's degree,"		Northampton, England
", On campus,Events Management/Advertising,3 years,https://www.educations.com/study-abroad/university-of-northampton/events-management-advertising-945704,University of Northampton
Bachelor's degree,"		Northampton, England
", On campus,Events Management/Business Entrepreneurship,3 years,https://www.educations.com/study-abroad/university-of-northampton/events-management-business-entrepreneurship-945705,University of Northampton
Bachelor's degree,"		Liverpool, England
", On campus,Events Management,3 years,https://www.educations.com/study-abroad/liverpool-john-moores-university/events-management-904926,Liverpool John Moores University
Master's degree,"		London, England
", On campus,Events Management (Taught),1 year,https://www.educations.com/study-abroad/university-of-greenwich/events-management-taught-940160,University of Greenwich
Master's degree,"		London, England
", On campus,Events Management (Taught),2 years,https://www.educations.com/study-abroad/university-of-greenwich/events-management-taught-940167,University of Greenwich
Master's degree,"		Liverpool, England
", On campus,International Events Management (Taught),1 year,https://www.educations.com/study-abroad/liverpool-john-moores-university/international-events-management-taught-904930,Liverpool John Moores University
Master's degree,"		Liverpool, England
", On campus,International Events Management (Taught),2 years,https://www.educations.com/study-abroad/liverpool-john-moores-university/international-events-management-taught-904929,Liverpool John Moores University
Master's degree,"		Northampton, England
", On campus,International Hotel Management (Taught),1 year,https://www.educations.com/study-abroad/university-of-northampton/international-hotel-management-taught-945834,University of Northampton
Bachelor's degree,"		London, England
", On campus,Culinary Arts Management with Placement,4 years,https://www.educations.com/study-abroad/university-of-west-london/culinary-arts-management-with-placement-964634,University of West London
Bachelor's degree,"		London, England
", On campus,Culinary Industry Management,3 years,https://www.educations.com/study-abroad/birkbeck-university-of-london/culinary-industry-management-892351,"Birkbeck, University of London"
Foundation / Pathway program,"		Skipton, England
", On campus,Event Management FD,2 years,https://www.educations.com/study-abroad/craven-college/event-management-fd-890356,Craven College
Bachelor's degree,"		Loughborough, England
", On campus,Events Management (Top Up),1 year,https://www.educations.com/study-abroad/loughborough-college/events-management-top-up-905602,Loughborough College
Bachelor's degree,"		Northampton, England
", On campus,Events Management (with Foundation Study),4 years,https://www.educations.com/study-abroad/university-of-northampton/events-management-with-foundation-study-945702,University of Northampton
Graduate diploma / certificate,"		Leeds, England
", On campus,International Events Management (Taught),2 years,https://www.educations.com/study-abroad/leeds-beckett-university/international-events-management-taught-907615,Leeds Beckett University
Bachelor's degree,"		Bedford, England
", On campus,Events Marketing and Management,3 years,https://www.educations.com/study-abroad/university-of-bedfordshire/events-marketing-and-management-926308,University of Bedfordshire
Diploma / certificate,"		Leeds, England
", On campus,Housing and Neighbourhood Management (Taught),1 year,https://www.educations.com/study-abroad/leeds-beckett-university/housing-and-neighbourhood-management-taught-907628,Leeds Beckett University
Master's degree,"		Lincoln, England
", On campus,Events Management (Taught),1 year,https://www.educations.com/study-abroad/university-of-lincoln/events-management-taught-948146,University of Lincoln
Master's degree,"		Lincoln, England
", On campus,Events Management (Taught),2 years,https://www.educations.com/study-abroad/university-of-lincoln/events-management-taught-948147,University of Lincoln
Foundation / Pathway program,"		Bolton, England
", On campus,Live Events Production,2 years,https://www.educations.com/study-abroad/university-of-bolton/live-events-production-937026,University of Bolton
Master's degree,"		London, England
", On campus,Event Design and Management (Taught),2 years,https://www.educations.com/study-abroad/university-of-westminster/event-design-and-management-taught-961447,University of Westminster
Master's degree,"		London, England
", On campus,Event Design and Management (Taught),1 year,https://www.educations.com/study-abroad/university-of-westminster/event-design-and-management-taught-961448,University of Westminster
Foundation / Pathway program,"		Manchester, England
", On campus,Event Management,2 years,https://www.educations.com/study-abroad/ucen-manchester-the-manchester-college/event-management-924370,UCEN Manchester (The Manchester College)
Bachelor's degree,"		Bolton, England
", On campus,Live Events Production,3 years,https://www.educations.com/study-abroad/university-of-bolton/live-events-production-937014,University of Bolton
Bachelor's degree,"		London, England
", On campus,Baking Science and Technology,3 years,https://www.educations.com/study-abroad/london-south-bank-university/baking-science-and-technology-907880,London South Bank University
Bachelor's degree,"		Liverpool, England
", On campus,Events Management,4 years,https://www.educations.com/study-abroad/liverpool-john-moores-university/events-management-904925,Liverpool John Moores University
Bachelor's degree,"		Sheffield, England
", On campus,International Events Management (top up),1 year,https://www.educations.com/study-abroad/sheffield-hallam-university/international-events-management-top-up-920157,Sheffield Hallam University
Bachelor's degree,"		Bolton, England
", On campus,Live Events Production (Final Year Top-up),1 year,https://www.educations.com/study-abroad/university-of-bolton/live-events-production-final-year-top-up-937036,University of Bolton
Bachelor's degree,"		Bolton, England
", On campus,Live Visual Design and Production,3 years,https://www.educations.com/study-abroad/university-of-bolton/live-visual-design-and-production-937027,University of Bolton
Bachelor's degree,"		Guildford, England
", On campus,Tour Management,2 years,https://www.educations.com/study-abroad/acm-the-academy-of-contemporary-music/tour-management-888738,ACM (The Academy of Contemporary Music)
Foundation / Pathway program,"		Stoke on Trent, England
", On campus,Visitor Attraction and Resort Management,2 years,https://www.educations.com/study-abroad/staffordshire-university/visitor-attraction-and-resort-management-916713,Staffordshire University
Bachelor's degree,"		London, England
", On campus,Culinary Arts Management,3 years,https://www.educations.com/study-abroad/university-of-west-london/culinary-arts-management-964636,University of West London
Bachelor's degree,"		London, England
", On campus,Culinary Arts Management with Foundation Year,4 years,https://www.educations.com/study-abroad/university-of-west-london/culinary-arts-management-with-foundation-year-964635,University of West London
Bachelor's degree,"		Winchester, England
", On campus,Event Management,6 years,https://www.educations.com/study-abroad/university-of-winchester/event-management-961766,University of Winchester
Bachelor's degree,"		Plumpton, England
", On campus,International Wine Business - Subject to validation,3 years,https://www.educations.com/study-abroad/plumpton-college/international-wine-business-subject-to-validation-913690,Plumpton College
Master's degree,"		Leeds, England
", On campus,International Events Management (Taught),2 years,https://www.educations.com/study-abroad/leeds-beckett-university/international-events-management-taught-907598,Leeds Beckett University
Master's degree,"		Leeds, England
", On campus,International Events Management (Taught),1 year,https://www.educations.com/study-abroad/leeds-beckett-university/international-events-management-taught-907599,Leeds Beckett University
Bachelor's degree,"		Kent, England
", On campus,Stage and Events Management,3 years,https://www.educations.com/study-abroad/rose-bruford-college/stage-and-events-management-912193,Rose Bruford College
Bachelor's degree,"		London, England
", On campus,Event Management with Placement,4 years,https://www.educations.com/study-abroad/university-of-west-london/event-management-with-placement-964753,University of West London
Master's degree,"		Birmingham, England
", On campus,"Event, Festival and Exhibition Management (Taught)",1 year,https://www.educations.com/study-abroad/birmingham-city-university/event-festival-and-exhibition-management-taught-895435,Birmingham City University
Bachelor's degree,"		Sheffield, England
", On campus,Events and Leisure Management (Top Up),1 year,https://www.educations.com/study-abroad/sheffield-hallam-university/events-and-leisure-management-top-up-920171,Sheffield Hallam University
Bachelor's degree,"		London, England
", On campus,Baking Science and Technology (Nutrition),3 years,https://www.educations.com/study-abroad/london-south-bank-university/baking-science-and-technology-nutrition-907869,London South Bank University
Bachelor's degree,"		London, England
", On campus,Baking Science and Technology (Nutrition)(Top Up),1 year,https://www.educations.com/study-abroad/london-south-bank-university/baking-science-and-technology-nutrition-top-up-907871,London South Bank University
Bachelor's degree,"		London, England
", On campus,Baking Science and Technology (Top Up),1 year,https://www.educations.com/study-abroad/london-south-bank-university/baking-science-and-technology-top-up-907878,London South Bank University
Foundation / Pathway program,"		Chester, England
", On campus,Bakery & Patisserie Technology,2 years,https://www.educations.com/study-abroad/university-of-chester/bakery-patisserie-technology-933924,University of Chester
Bachelor's degree,"		Birmingham, England
", On campus,"Event, Venue and Experience Management",4 years,https://www.educations.com/study-abroad/birmingham-city-university/event-venue-and-experience-management-895436,Birmingham City University
Bachelor's degree,"		Birmingham, England
", On campus,"Event, Venue and Experience Management",3 years,https://www.educations.com/study-abroad/birmingham-city-university/event-venue-and-experience-management-895437,Birmingham City University
Foundation / Pathway program,"		Cheltenham, England
", On campus,Events Management,3 years,https://www.educations.com/study-abroad/university-of-gloucestershire/events-management-939651,University of Gloucestershire
Foundation / Pathway program,"		Loughborough, England
", On campus,Events Management,2 years,https://www.educations.com/study-abroad/loughborough-college/events-management-905603,Loughborough College
Bachelor's degree,"		Poole, England
", On campus,Creative Events Management,3 years,https://www.educations.com/study-abroad/arts-university-bournemouth/creative-events-management-888674,Arts University Bournemouth
Master's degree,"		Sheffield, England
", On campus,International Events and Conference Management (Taught),36 months,https://www.educations.com/study-abroad/sheffield-hallam-university/international-events-and-conference-management-taught-920154,Sheffield Hallam University
Foundation / Pathway program,"		London, England
", On campus,Baking Science and Technology (New Production Development),2 years,https://www.educations.com/study-abroad/london-south-bank-university/baking-science-and-technology-new-production-development-907867,London South Bank University
Bachelor's degree,"		London, England
", On campus,Baking Science and Technology (New Product Development),3 years,https://www.educations.com/study-abroad/london-south-bank-university/baking-science-and-technology-new-product-development-907865,London South Bank University
Bachelor's degree,"		London, England
", On campus,Baking Science and Technology (New Product Development) (Top Up),1 year,https://www.educations.com/study-abroad/london-south-bank-university/baking-science-and-technology-new-product-development-top-up-907866,London South Bank University
Bachelor's degree,"		Cheltenham, England
", On campus,Events Management,3 years,https://www.educations.com/study-abroad/university-of-gloucestershire/events-management-939641,University of Gloucestershire
Bachelor's degree,"		Cheltenham, England
", On campus,Events Management (with placement),4 years,https://www.educations.com/study-abroad/university-of-gloucestershire/events-management-with-placement-939659,University of Gloucestershire
Bachelor's degree,"		Sheffield, England
", On campus,International Events Management with Experiential Marketing,4 years,https://www.educations.com/study-abroad/sheffield-hallam-university/international-events-management-with-experiential-marketing-920158,Sheffield Hallam University
Foundation / Pathway program,"		London, England
", On campus,Baking Science Technology (Management),2 years,https://www.educations.com/study-abroad/london-south-bank-university/baking-science-technology-management-907872,London South Bank University
Bachelor's degree,"		London, England
", On campus,Baking Science and Technology (Management),3 years,https://www.educations.com/study-abroad/london-south-bank-university/baking-science-and-technology-management-907864,London South Bank University
Foundation / Pathway program,"		Sheffield, England
", On campus,Bakery and Patisserie Technology,2 years,https://www.educations.com/study-abroad/sheffield-college/bakery-and-patisserie-technology-922563,Sheffield College
Bachelor's degree,"		London, England
", On campus,Baking Science Technology (Management) Top-Up,1 year,https://www.educations.com/study-abroad/london-south-bank-university/baking-science-technology-management-top-up-907873,London South Bank University
Foundation / Pathway program,"		London, England
", On campus,Baking Science and Technology (Nutrition),2 years,https://www.educations.com/study-abroad/london-south-bank-university/baking-science-and-technology-nutrition-907868,London South Bank University
Foundation / Pathway program,"		London, England
", On campus,Baking Science and Technology,2 years,https://www.educations.com/study-abroad/london-south-bank-university/baking-science-and-technology-907870,London South Bank University
